#,Componente,Cant.,Fecha,PRIORIDAD,ESTADO,Link,Precio ud,Precio total,Columna 1,USO
1,Módulo PD Trigger ZY12PDN (fijar 12V),1,13/7/2026,COMPRADO,COMPRADO,,$0.00,$0.00,Uso fijo,
2,Módulo Buck MP1584 / LM2596 (5.0V ≥1A),1,13/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-560640335-modulo-regulador-reductor-voltaje-lm2596-buck-arduino-l2-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=6671eebc-bde7-4565-8679-696059103948&wid=MLV560640335&sid=search,$5.99,$5.99,Uso fijo,
3,MOSFET IRLZ44N (logic-level),3,13/7/2026,PRIORIDAD ALTA,EN CAMINO,,,$0.00,Uso fijo,
4,Diodo 1N4007,5,13/7/2026,COMPRADO,COMPRADO,,$0.55,$2.76,Uso fijo,
5,Relé Bosch 5 pines 12V 40A (sellado),2,13/7/2026,COMPRADO,COMPRADO,,,$0.00,Uso fijo,
6,Zócalo/socket para relé,2,13/7/2026,PRIORIDAD BAJA,EN CAMINO,,$2.76,$5.52,Consumible,
7,Resistencia 220 Ω ¼W,2,13/7/2026,COMPRADO,COMPRADO,,$0.35,$0.69,Uso fijo,
8,Resistencia 10 kΩ ¼W,2,13/7/2026,COMPRADO,COMPRADO,,$0.35,$0.69,Uso fijo,
9,Resistencia 100 kΩ 1%,2,13/7/2026,COMPRADO,COMPRADO,,$0.35,$0.69,Uso fijo,
10,Resistencia 22 kΩ 1%,2,13/7/2026,COMPRADO,COMPRADO,,$0.35,$0.69,Uso fijo,
11,Diodo Zener 3.3V,2,13/7/2026,COMPRADO,COMPRADO,,$2.21,$4.42,Uso fijo,
12,Capacitor 100 nF,2,13/7/2026,COMPRADO,COMPRADO,,$0.50,$1.00,Uso fijo,
13,Fusible 10–15A + portafusible,1,13/7/2026,COMPRADO,COMPRADO,,,$0.00,Uso fijo,
14,Cable AWG 14–12,2,13/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-575916592-cable-16-thw-awg-pvc-105c-600v-x-10-metros-cabel-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=16&type=item&tracking_id=7b79267d-2726-4ab6-93ba-702b166ee064&wid=MLV575916592&sid=search,$8.50,$8.50,Consumible,
15,Borneras / conectores,1,13/7/2026,PRIORIDAD BAJA,EN CAMINO,,$2.21,$2.21,Prototipo,
16,mini protoboard,2,13/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-733527993-protoboard-breadboard-para-electronica-400-contactos-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=a8135f37-0610-4ec4-a58d-0c4a71e615e1&wid=MLV733527993&sid=search,$3.80,$7.60,Prototipo,
17,Termorretráctil surtido,1,13/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-759379465-paq-termoencogible-termocontraible-tubo-retractil-164-pcs-_JM,$2.00,$2.00,Consumible,
18,sensor de humedad y temperatura dht22,2,10/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-1010474840-dht22-sensor-digital-de-temperatura-y-humedad-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=048cf2d7-e935-4aa3-893c-cef57b01f58c&wid=MLV1010474840&sid=search,$9.99,$19.98,Uso fijo,
19,Kit Cautín,1,10/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-955201804-gnz-cautin-regulable-azul-110v-220v-soldador-electrico-_JM#polycard_client=recommendations_vip-seller_items-above&reco_backend=ranker-retsys-same-seller&reco_model=rk_entity_sameseller&reco_client=vip-seller_items-above&reco_item_pos=1&reco_backend_type=low_level&reco_id=43403fff-955e-4708-a748-a03b0611a438&wid=MLV955201804&sid=recos,$15.00,$15.00,Herramienta,
20,Kit de destornilladores pequeños,1,9/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-767023568-kit-de-destornilladores-de-115-piezas-laptop-telefono-pc-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=item&float_highlight=last_units&tracking_id=51c8b939-2de4-4ebe-a6d4-deb3f844c4fd&wid=MLV767023568&sid=search,$14.00,$14.00,Herramienta,
21,Kit de alicates,1,9/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-775844711-set-alicates-piqueta-pinza-y-tenaza-6-y-7-pulgadas-wadfow-_JM?sid=bookmarks#polycard_client=bookmarks&wid=MLV775844711&sid=bookmarks,$20.00,$20.00,Herramienta,
22,Regulador de amperaje para carga de bateria desde alternador de moto:XL4016,1,10/7/2026,COMPRADO,COMPRADO,,$11.99,$11.99,Uso fijo,
23,Fan cooler,2,10/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-577865727-fan-cooler-ventilador-12cm-12x12-conexion-molex-pc-case-mdj-_JM?searchVariation=187250026839#polycard_client=search-desktop&be_origin=backend&searchVariation=187250026839&search_layout=grid&position=7&type=item&tracking_id=c55814f5-ce0d-452e-891a-263327059d41&sid=search,$2.50,$5.00,Uso fijo,
24,Lm2596 Modulo Regulador Convertidor De Voltaje Dc Ajustable,2,10/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-775072151-lm2596-modulo-regulador-convertidor-de-voltaje-dc-ajustable-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=12b21229-dbe8-4b2b-b3df-2bdfc76c89fd&wid=MLV775072151&sid=search,$3.00,$6.00,Uso fijo,
25,Terminales pack 60,1,10/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-819453412-terminales-electronicos-de-colores-60pzas-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=item&tracking_id=e9227f35-63d0-4fff-ae90-85b27120789f&wid=MLV819453412&sid=search,$9.50,$9.50,Consumible,
26,Stc - Conector 12v Macho 2.1mm [20 Unidades],1,10/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-839906862-stc-conector-12v-macho-21mm-20-unidades-_JM#polycard_client=recommendations_vip-v2p&reco_backend=retrieval-v2p&reco_model=fallback_organicos&reco_client=vip-v2p&reco_item_pos=0&reco_backend_type=low_level&reco_id=929bb4af-5b1b-453f-b6cc-9e0b112c41e2&wid=MLV839906862&sid=recos,$7.60,$7.60,Consumible,
27,sensor de humedad y temperatura dht22,2,13/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-1010474840-dht22-sensor-digital-de-temperatura-y-humedad-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=048cf2d7-e935-4aa3-893c-cef57b01f58c&wid=MLV1010474840&sid=search,$9.99,$19.98,Uso fijo,
28,Trimer Potenciometro Multivuletas 1k 5k 10k 20k,1,13/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-748668919-trimer-potenciometro-multivuletas-1k-5k-10k-20k-_JM?attributes=Valor_4e9a0a4_vpp%3AMTBL&quantity=1&picker=true&searchVariation=179954660371,$3.00,$3.00,Uso fijo,
29,Modulo Controlador De Carga De Batería 12v,1,13/7/2026,COMPRADO,COMPRADO,https://articulo.mercadolibre.com.ve/MLV-1018456528-modulo-controlador-de-carga-de-bateria-12v-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=43&type=item&tracking_id=c0777d8f-27bc-4ff0-b16d-c681e433244b&wid=MLV1018456528&sid=search,$9.99,$9.99,Uso fijo,